date,nb_objets,saison
2016-05-18 00:00:00+00:00,266,printemps
2016-05-19 00:00:00+00:00,220,printemps
2016-05-20 00:00:00+00:00,260,printemps
2016-05-21 00:00:00+00:00,189,printemps
2016-05-22 00:00:00+00:00,171,printemps
2016-05-23 00:00:00+00:00,356,printemps
2016-05-24 00:00:00+00:00,297,printemps
2016-05-25 00:00:00+00:00,242,printemps
2016-05-26 00:00:00+00:00,189,printemps
2016-05-27 00:00:00+00:00,349,printemps
2016-05-28 00:00:00+00:00,219,printemps
2016-05-29 00:00:00+00:00,138,printemps
2016-05-30 00:00:00+00:00,408,printemps
2016-05-31 00:00:00+00:00,325,printemps
2016-06-01 00:00:00+00:00,203,ete
2016-06-02 00:00:00+00:00,137,ete
2016-06-03 00:00:00+00:00,198,ete
2016-06-04 00:00:00+00:00,100,ete
2016-06-05 00:00:00+00:00,104,ete
2016-06-06 00:00:00+00:00,326,ete
2016-06-07 00:00:00+00:00,228,ete
2016-06-08 00:00:00+00:00,216,ete
2016-06-09 00:00:00+00:00,282,ete
2016-06-10 00:00:00+00:00,240,ete
2016-06-11 00:00:00+00:00,171,ete
2016-06-12 00:00:00+00:00,109,ete
2016-06-13 00:00:00+00:00,378,ete
2016-06-14 00:00:00+00:00,221,ete
2016-06-15 00:00:00+00:00,224,ete
2016-06-16 00:00:00+00:00,264,ete
2016-06-17 00:00:00+00:00,307,ete
2016-06-18 00:00:00+00:00,155,ete
2016-06-19 00:00:00+00:00,111,ete
2016-06-20 00:00:00+00:00,492,ete
2016-06-21 00:00:00+00:00,281,ete
2016-06-22 00:00:00+00:00,370,ete
2016-06-23 00:00:00+00:00,290,ete
2016-06-24 00:00:00+00:00,317,ete
2016-06-25 00:00:00+00:00,174,ete
2016-06-26 00:00:00+00:00,215,ete
2016-06-27 00:00:00+00:00,425,ete
2016-06-28 00:00:00+00:00,357,ete
2016-06-29 00:00:00+00:00,303,ete
2016-06-30 00:00:00+00:00,329,ete
2016-07-01 00:00:00+00:00,328,ete
2016-07-02 00:00:00+00:00,215,ete
2016-07-03 00:00:00+00:00,154,ete
2016-07-04 00:00:00+00:00,489,ete
2016-07-05 00:00:00+00:00,370,ete
2016-07-06 00:00:00+00:00,344,ete
2016-07-07 00:00:00+00:00,389,ete
2016-07-08 00:00:00+00:00,323,ete
2016-07-09 00:00:00+00:00,249,ete
2016-07-10 00:00:00+00:00,143,ete
2016-07-11 00:00:00+00:00,470,ete
2016-07-12 00:00:00+00:00,340,ete
2016-07-13 00:00:00+00:00,373,ete
2016-07-14 00:00:00+00:00,143,ete
2016-07-15 00:00:00+00:00,377,ete
2016-07-16 00:00:00+00:00,187,ete
2016-07-17 00:00:00+00:00,158,ete
2016-07-18 00:00:00+00:00,439,ete
2016-07-19 00:00:00+00:00,409,ete
2016-07-20 00:00:00+00:00,330,ete
2016-07-21 00:00:00+00:00,334,ete
2016-07-22 00:00:00+00:00,300,ete
2016-07-23 00:00:00+00:00,189,ete
2016-07-24 00:00:00+00:00,168,ete
2016-07-25 00:00:00+00:00,393,ete
2016-07-26 00:00:00+00:00,315,ete
2016-07-27 00:00:00+00:00,269,ete
2016-07-28 00:00:00+00:00,292,ete
2016-07-29 00:00:00+00:00,296,ete
2016-07-30 00:00:00+00:00,205,ete
2016-07-31 00:00:00+00:00,188,ete
2016-08-01 00:00:00+00:00,419,ete
2016-08-02 00:00:00+00:00,358,ete
2016-08-03 00:00:00+00:00,293,ete
2016-08-04 00:00:00+00:00,319,ete
2016-08-05 00:00:00+00:00,327,ete
2016-08-06 00:00:00+00:00,217,ete
2016-08-07 00:00:00+00:00,144,ete
2016-08-08 00:00:00+00:00,421,ete
2016-08-09 00:00:00+00:00,309,ete
2016-08-10 00:00:00+00:00,318,ete
2016-08-11 00:00:00+00:00,291,ete
2016-08-12 00:00:00+00:00,271,ete
2016-08-13 00:00:00+00:00,176,ete
2016-08-14 00:00:00+00:00,181,ete
2016-08-15 00:00:00+00:00,189,ete
2016-08-16 00:00:00+00:00,454,ete
2016-08-17 00:00:00+00:00,311,ete
2016-08-18 00:00:00+00:00,335,ete
2016-08-19 00:00:00+00:00,321,ete
2016-08-20 00:00:00+00:00,177,ete
2016-08-21 00:00:00+00:00,170,ete
2016-08-22 00:00:00+00:00,353,ete
2016-08-23 00:00:00+00:00,373,ete
2016-08-24 00:00:00+00:00,267,ete
2016-08-25 00:00:00+00:00,315,ete
2016-08-26 00:00:00+00:00,314,ete
2016-08-27 00:00:00+00:00,186,ete
2016-08-28 00:00:00+00:00,161,ete
2016-08-29 00:00:00+00:00,387,ete
2016-08-30 00:00:00+00:00,327,ete
2016-08-31 00:00:00+00:00,244,ete
2016-09-01 00:00:00+00:00,255,automne
2016-09-02 00:00:00+00:00,343,automne
2016-09-03 00:00:00+00:00,200,automne
2016-09-04 00:00:00+00:00,114,automne
2016-09-05 00:00:00+00:00,368,automne
2016-09-06 00:00:00+00:00,342,automne
2016-09-07 00:00:00+00:00,288,automne
2016-09-08 00:00:00+00:00,353,automne
2016-09-09 00:00:00+00:00,292,automne
2016-09-10 00:00:00+00:00,204,automne
2016-09-11 00:00:00+00:00,140,automne
2016-09-12 00:00:00+00:00,376,automne
2016-09-13 00:00:00+00:00,319,automne
