,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
3083,0087142232,02953,GARES C CHAMPAGNE ARDENNE,Vignory,Vignory,48.2701366,5.1241594
3084,0087681619,00825,GARES B IDF LIGNE D,Villabé,Villabé,48.592637,2.461572
3085,0087272021,02525,Gares C Ile-de-France,Villaines-sous-Bois,Villaines-sous-Bois,49.0798273,2.3513736
3086,0087723759,00511,GARES B RHONE ALPES,Villars-les-Dombes,Villars-les-Dombes,46.004206,5.028404
3087,0087691311,03205,GARES C BOURGOGNE,Villechaud,,,
3088,0087694224,03206,GARES C BOURGOGNE,Villedieu-Chanliau,,,
3089,0087447698,01779,GARES C BASSE NORMANDIE,Villedieu-les-Poêles,Villedieu-les-Poêles-Rouffigny,48.8340495,-1.225559
3090,0087775197,00106,GARES C LANGUEDOC ROUSSILLON,Villefort,Villefort,44.4395099,3.9240146
3091,0087784686,00025,GARES B LANGUEDOC ROUSSILLON,Villefranche - Vernet-les-Bains,Villefranche-de-Conflent,42.591998,2.370396
3092,0087615013,00976,GARES B MIDI PYRENEES,Villefranche-de-Lauragais,Villefranche-de-Lauragais,43.398537,1.714725
3093,0087613893,00978,GARES C MIDI PYRENEES,Villefranche-de-Rouergue,Villefranche-de-Rouergue,44.347498,2.0364594
3094,0087595892,01091,GARES C AQUITAINE,Villefranche-du-Périgord,Villefranche-du-Périgord,44.6270124,1.0490908
3095,0087576884,01307,GARES C CENTRE,Villefranche-sur-Cher,Villefranche-sur-Cher,47.2948034,1.768094
3096,0087756361,00224,GARES B COTE AZUR,Villefranche-sur-Mer,Villefranche-sur-Mer,43.707061,7.314129
3097,0087721332,00582,GARES B RHONE ALPES,Villefranche-sur-Saône,Villefranche-sur-Saône,45.98450,4.72077
3098,0087673616,00858,GARES C AQUITAINE,Villefranque,Villefranque,43.4313998,-1.4564514
3099,0087576165,01331,GARES C CENTRE,Villeherviers,Villeherviers,47.3694005,1.7972555
3100,0087581835,01285,GARES C BORDEAUX METRO,Villenave-d'Ornon,Villenave-d'Ornon,44.7683428,-0.5472574
3101,0087681858,00820,GARES B IDF LIGNE D,Villeneuve Prairie,Villeneuve-Saint-Georges,,
3102,0087681809,00822,GARES B IDF LIGNE D,Villeneuve Triage,Villeneuve-Saint-Georges,48.745198,2.438192
3103,0087613885,03207,GARES C MIDI PYRENEES,Villeneuve-d'Aveyron,,,
3104,0087491258,01509,GARES C POITOU CHARENTES,Villeneuve-la-Comtesse,Villeneuve-la-Comtesse,46.0986599,-0.5130717
