date,type,nb_objets
2021-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",21607
2021-12-31 00:00:00+00:00,"Bijoux, montres",546
2021-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",2288
2021-12-31 00:00:00+00:00,Divers,1430
2021-12-31 00:00:00+00:00,Instruments de musique,195
2021-12-31 00:00:00+00:00,"Livres, articles de papéterie",993
2021-12-31 00:00:00+00:00,Optique,2985
2021-12-31 00:00:00+00:00,Parapluies,490
2021-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,3862
2021-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",7622
2021-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1458
2021-12-31 00:00:00+00:00,"Vêtements, chaussures",6757
