date,type,nb_objets
2017-06-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",6711
2017-06-30 00:00:00+00:00,"Bijoux, montres",219
2017-06-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1259
2017-06-30 00:00:00+00:00,Divers,392
2017-06-30 00:00:00+00:00,Instruments de musique,49
2017-06-30 00:00:00+00:00,"Livres, articles de papéterie",643
2017-06-30 00:00:00+00:00,Optique,1712
2017-06-30 00:00:00+00:00,Parapluies,219
2017-06-30 00:00:00+00:00,Pièces d'identités et papiers personnels,2044
2017-06-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",3089
2017-06-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",373
2017-06-30 00:00:00+00:00,"Vêtements, chaussures",3443
2017-09-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3563
2017-09-30 00:00:00+00:00,"Articles d'enfants, de puériculture",349
2017-09-30 00:00:00+00:00,"Articles de sport, loisirs, camping",475
2017-09-30 00:00:00+00:00,Articles médicaux,161
2017-09-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",7661
2017-09-30 00:00:00+00:00,"Bijoux, montres",245
2017-09-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1102
2017-09-30 00:00:00+00:00,Divers,471
2017-09-30 00:00:00+00:00,Instruments de musique,85
2017-09-30 00:00:00+00:00,"Livres, articles de papéterie",603
2017-09-30 00:00:00+00:00,Optique,1603
2017-09-30 00:00:00+00:00,Parapluies,312
2017-09-30 00:00:00+00:00,Pièces d'identités et papiers personnels,2177
2017-09-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",3034
2017-09-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",347
2017-09-30 00:00:00+00:00,"Vêtements, chaussures",4119
2017-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3372
2017-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",244
2017-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",217
2017-12-31 00:00:00+00:00,Articles médicaux,162
2017-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",7849
2017-12-31 00:00:00+00:00,"Bijoux, montres",233
2017-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1051
2017-12-31 00:00:00+00:00,Divers,412
2017-12-31 00:00:00+00:00,Instruments de musique,56
2017-12-31 00:00:00+00:00,"Livres, articles de papéterie",592
2017-12-31 00:00:00+00:00,Optique,1216
2017-12-31 00:00:00+00:00,Parapluies,280
2017-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,2083
2017-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",2916
2017-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",314
2017-12-31 00:00:00+00:00,"Vêtements, chaussures",3081
2018-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",3305
2018-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",256
2018-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",213
2018-03-31 00:00:00+00:00,Articles médicaux,123
2018-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",7576
2018-03-31 00:00:00+00:00,"Bijoux, montres",212
2018-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",1034
2018-03-31 00:00:00+00:00,Divers,367
2018-03-31 00:00:00+00:00,Instruments de musique,49
