date,type,nb_objets
2016-06-30 00:00:00+00:00,"Bijoux, montres",80
2016-06-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",399
2016-06-30 00:00:00+00:00,Divers,141
2016-06-30 00:00:00+00:00,Instruments de musique,22
2016-06-30 00:00:00+00:00,"Livres, articles de papéterie",219
2016-06-30 00:00:00+00:00,Optique,479
2016-06-30 00:00:00+00:00,Parapluies,141
2016-06-30 00:00:00+00:00,Pièces d'identités et papiers personnels,716
2016-06-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",926
2016-06-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",79
2016-06-30 00:00:00+00:00,"Vêtements, chaussures",1152
2016-07-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1261
2016-07-31 00:00:00+00:00,"Articles d'enfants, de puériculture",127
2016-07-31 00:00:00+00:00,"Articles de sport, loisirs, camping",161
2016-07-31 00:00:00+00:00,Articles médicaux,59
2016-07-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2494
2016-07-31 00:00:00+00:00,"Bijoux, montres",98
2016-07-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",452
2016-07-31 00:00:00+00:00,Divers,184
2016-07-31 00:00:00+00:00,Instruments de musique,24
2016-07-31 00:00:00+00:00,"Livres, articles de papéterie",202
2016-07-31 00:00:00+00:00,Optique,658
2016-07-31 00:00:00+00:00,Parapluies,35
2016-07-31 00:00:00+00:00,Pièces d'identités et papiers personnels,804
2016-07-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1088
2016-07-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",122
2016-07-31 00:00:00+00:00,"Vêtements, chaussures",1410
2016-08-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1197
2016-08-31 00:00:00+00:00,"Articles d'enfants, de puériculture",157
2016-08-31 00:00:00+00:00,"Articles de sport, loisirs, camping",223
2016-08-31 00:00:00+00:00,Articles médicaux,83
2016-08-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2387
2016-08-31 00:00:00+00:00,"Bijoux, montres",77
2016-08-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",418
2016-08-31 00:00:00+00:00,Divers,179
2016-08-31 00:00:00+00:00,Instruments de musique,26
2016-08-31 00:00:00+00:00,"Livres, articles de papéterie",202
2016-08-31 00:00:00+00:00,Optique,663
2016-08-31 00:00:00+00:00,Parapluies,62
2016-08-31 00:00:00+00:00,Pièces d'identités et papiers personnels,769
2016-08-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1071
2016-08-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",95
2016-08-31 00:00:00+00:00,"Vêtements, chaussures",1319
2016-09-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1220
2016-09-30 00:00:00+00:00,"Articles d'enfants, de puériculture",79
2016-09-30 00:00:00+00:00,"Articles de sport, loisirs, camping",113
2016-09-30 00:00:00+00:00,Articles médicaux,58
2016-09-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2088
2016-09-30 00:00:00+00:00,"Bijoux, montres",85
2016-09-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",464
2016-09-30 00:00:00+00:00,Divers,154
2016-09-30 00:00:00+00:00,Instruments de musique,17
2016-09-30 00:00:00+00:00,"Livres, articles de papéterie",243
2016-09-30 00:00:00+00:00,Optique,539
2016-09-30 00:00:00+00:00,Parapluies,77
2016-09-30 00:00:00+00:00,Pièces d'identités et papiers personnels,715
2016-09-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1017
2016-09-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",117
2016-09-30 00:00:00+00:00,"Vêtements, chaussures",1361
2016-10-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1170
2016-10-31 00:00:00+00:00,"Articles d'enfants, de puériculture",115
