,region,date,n
103,Auvergne-Rhône-Alpes,2016-04-13,19
104,Auvergne-Rhône-Alpes,2016-04-14,35
105,Auvergne-Rhône-Alpes,2016-04-15,29
106,Auvergne-Rhône-Alpes,2016-04-16,13
107,Auvergne-Rhône-Alpes,2016-04-17,5
108,Auvergne-Rhône-Alpes,2016-04-18,38
109,Auvergne-Rhône-Alpes,2016-04-19,13
110,Auvergne-Rhône-Alpes,2016-04-20,28
111,Auvergne-Rhône-Alpes,2016-04-21,33
112,Auvergne-Rhône-Alpes,2016-04-22,30
113,Auvergne-Rhône-Alpes,2016-04-23,10
114,Auvergne-Rhône-Alpes,2016-04-24,2
115,Auvergne-Rhône-Alpes,2016-04-25,40
116,Auvergne-Rhône-Alpes,2016-04-26,15
117,Auvergne-Rhône-Alpes,2016-04-27,32
118,Auvergne-Rhône-Alpes,2016-04-28,14
119,Auvergne-Rhône-Alpes,2016-04-29,18
120,Auvergne-Rhône-Alpes,2016-04-30,7
121,Auvergne-Rhône-Alpes,2016-05-01,10
122,Auvergne-Rhône-Alpes,2016-05-02,31
123,Auvergne-Rhône-Alpes,2016-05-03,23
124,Auvergne-Rhône-Alpes,2016-05-04,27
125,Auvergne-Rhône-Alpes,2016-05-05,10
126,Auvergne-Rhône-Alpes,2016-05-06,54
127,Auvergne-Rhône-Alpes,2016-05-07,9
128,Auvergne-Rhône-Alpes,2016-05-08,16
129,Auvergne-Rhône-Alpes,2016-05-09,43
130,Auvergne-Rhône-Alpes,2016-05-10,13
131,Auvergne-Rhône-Alpes,2016-05-11,28
132,Auvergne-Rhône-Alpes,2016-05-12,34
133,Auvergne-Rhône-Alpes,2016-05-13,25
134,Auvergne-Rhône-Alpes,2016-05-14,5
135,Auvergne-Rhône-Alpes,2016-05-15,6
136,Auvergne-Rhône-Alpes,2016-05-16,14
137,Auvergne-Rhône-Alpes,2016-05-17,28
138,Auvergne-Rhône-Alpes,2016-05-18,19
139,Auvergne-Rhône-Alpes,2016-05-19,25
140,Auvergne-Rhône-Alpes,2016-05-20,27
141,Auvergne-Rhône-Alpes,2016-05-21,13
142,Auvergne-Rhône-Alpes,2016-05-22,8
143,Auvergne-Rhône-Alpes,2016-05-23,31
144,Auvergne-Rhône-Alpes,2016-05-24,30
145,Auvergne-Rhône-Alpes,2016-05-25,8
146,Auvergne-Rhône-Alpes,2016-05-26,4
147,Auvergne-Rhône-Alpes,2016-05-27,58
148,Auvergne-Rhône-Alpes,2016-05-28,13
149,Auvergne-Rhône-Alpes,2016-05-29,6
150,Auvergne-Rhône-Alpes,2016-05-30,17
151,Auvergne-Rhône-Alpes,2016-05-31,45
152,Auvergne-Rhône-Alpes,2016-06-01,14
153,Auvergne-Rhône-Alpes,2016-06-02,14
154,Auvergne-Rhône-Alpes,2016-06-03,9
155,Auvergne-Rhône-Alpes,2016-06-04,6
156,Auvergne-Rhône-Alpes,2016-06-05,5
157,Auvergne-Rhône-Alpes,2016-06-06,33
158,Auvergne-Rhône-Alpes,2016-06-07,16
159,Auvergne-Rhône-Alpes,2016-06-08,22
160,Auvergne-Rhône-Alpes,2016-06-09,12
161,Auvergne-Rhône-Alpes,2016-06-10,31
162,Auvergne-Rhône-Alpes,2016-06-11,13
163,Auvergne-Rhône-Alpes,2016-06-12,2
164,Auvergne-Rhône-Alpes,2016-06-13,20
165,Auvergne-Rhône-Alpes,2016-06-14,22
166,Auvergne-Rhône-Alpes,2016-06-15,54
167,Auvergne-Rhône-Alpes,2016-06-16,14
168,Auvergne-Rhône-Alpes,2016-06-17,31
169,Auvergne-Rhône-Alpes,2016-06-18,5
170,Auvergne-Rhône-Alpes,2016-06-19,4
171,Auvergne-Rhône-Alpes,2016-06-20,41
172,Auvergne-Rhône-Alpes,2016-06-21,28
173,Auvergne-Rhône-Alpes,2016-06-22,43
174,Auvergne-Rhône-Alpes,2016-06-23,16
175,Auvergne-Rhône-Alpes,2016-06-24,38
176,Auvergne-Rhône-Alpes,2016-06-25,9
177,Auvergne-Rhône-Alpes,2016-06-26,15
178,Auvergne-Rhône-Alpes,2016-06-27,33
179,Auvergne-Rhône-Alpes,2016-06-28,28
180,Auvergne-Rhône-Alpes,2016-06-29,14
181,Auvergne-Rhône-Alpes,2016-06-30,43
182,Auvergne-Rhône-Alpes,2016-07-01,20
183,Auvergne-Rhône-Alpes,2016-07-02,10
184,Auvergne-Rhône-Alpes,2016-07-03,11
185,Auvergne-Rhône-Alpes,2016-07-04,50
186,Auvergne-Rhône-Alpes,2016-07-05,30
187,Auvergne-Rhône-Alpes,2016-07-06,42
188,Auvergne-Rhône-Alpes,2016-07-07,27
189,Auvergne-Rhône-Alpes,2016-07-08,43
190,Auvergne-Rhône-Alpes,2016-07-09,14
191,Auvergne-Rhône-Alpes,2016-07-10,6
192,Auvergne-Rhône-Alpes,2016-07-11,38
193,Auvergne-Rhône-Alpes,2016-07-12,26
194,Auvergne-Rhône-Alpes,2016-07-13,40
195,Auvergne-Rhône-Alpes,2016-07-14,12
196,Auvergne-Rhône-Alpes,2016-07-15,31
197,Auvergne-Rhône-Alpes,2016-07-16,10
198,Auvergne-Rhône-Alpes,2016-07-17,11
199,Auvergne-Rhône-Alpes,2016-07-18,48
200,Auvergne-Rhône-Alpes,2016-07-19,29
201,Auvergne-Rhône-Alpes,2016-07-20,19
202,Auvergne-Rhône-Alpes,2016-07-21,27
203,Auvergne-Rhône-Alpes,2016-07-22,26
204,Auvergne-Rhône-Alpes,2016-07-23,2
205,Auvergne-Rhône-Alpes,2016-07-24,7
206,Auvergne-Rhône-Alpes,2016-07-25,47
207,Auvergne-Rhône-Alpes,2016-07-26,26
208,Auvergne-Rhône-Alpes,2016-07-27,43
209,Auvergne-Rhône-Alpes,2016-07-28,28
210,Auvergne-Rhône-Alpes,2016-07-29,22
211,Auvergne-Rhône-Alpes,2016-07-30,10
212,Auvergne-Rhône-Alpes,2016-07-31,8
213,Auvergne-Rhône-Alpes,2016-08-01,24
214,Auvergne-Rhône-Alpes,2016-08-02,28
215,Auvergne-Rhône-Alpes,2016-08-03,11
216,Auvergne-Rhône-Alpes,2016-08-04,8
217,Auvergne-Rhône-Alpes,2016-08-05,63
218,Auvergne-Rhône-Alpes,2016-08-06,14
219,Auvergne-Rhône-Alpes,2016-08-07,13
220,Auvergne-Rhône-Alpes,2016-08-08,38
221,Auvergne-Rhône-Alpes,2016-08-09,21
222,Auvergne-Rhône-Alpes,2016-08-10,21
223,Auvergne-Rhône-Alpes,2016-08-11,17
224,Auvergne-Rhône-Alpes,2016-08-12,22
225,Auvergne-Rhône-Alpes,2016-08-13,15
226,Auvergne-Rhône-Alpes,2016-08-14,16
227,Auvergne-Rhône-Alpes,2016-08-15,8
228,Auvergne-Rhône-Alpes,2016-08-16,46
229,Auvergne-Rhône-Alpes,2016-08-17,38
230,Auvergne-Rhône-Alpes,2016-08-18,43
231,Auvergne-Rhône-Alpes,2016-08-19,25
232,Auvergne-Rhône-Alpes,2016-08-20,12
233,Auvergne-Rhône-Alpes,2016-08-21,9
234,Auvergne-Rhône-Alpes,2016-08-22,20
235,Auvergne-Rhône-Alpes,2016-08-23,46
236,Auvergne-Rhône-Alpes,2016-08-24,24
237,Auvergne-Rhône-Alpes,2016-08-25,18
238,Auvergne-Rhône-Alpes,2016-08-26,31
239,Auvergne-Rhône-Alpes,2016-08-27,7
240,Auvergne-Rhône-Alpes,2016-08-28,10
241,Auvergne-Rhône-Alpes,2016-08-29,36
