,region,nb_objet,freq,n,date
828,Auvergne-Rhône-Alpes,490.0,8148226,6.0135789066233556e-05,2021
829,Bourgogne-Franche-Comté,113.0,1707787,6.616750215337158e-05,2021
830,Bretagne,155.0,777724,0.00019929949442218576,2021
831,Centre-Val de Loire,127.0,1348058,9.420959632300688e-05,2021
832,Grand Est,261.0,3975120,6.565839521825756e-05,2021
833,Hauts-de-France,327.0,7172251,4.5592380969377674e-05,2021
834,Normandie,103.0,1112392,9.259325849161087e-05,2021
835,Nouvelle-Aquitaine,610.0,4385581,0.00013909217501626353,2021
836,Occitanie,271.0,2594054,0.00010446968336048517,2021
837,Pays de la Loire,309.0,3436895,8.990673267586005e-05,2021
838,Provence-Alpes-Côte d'Azur,356.0,4734362,7.519492594778347e-05,2021
839,Île-de-France,704.0,24490204,2.8746187659359635e-05,2021
840,Auvergne-Rhône-Alpes,426.0,7784312,5.4725452936624325e-05,2021
841,Bourgogne-Franche-Comté,98.0,1631515,6.0066870362822284e-05,2021
842,Bretagne,168.0,742989,0.00022611371097014895,2021
843,Centre-Val de Loire,146.0,1287853,0.00011336697588932898,2021
844,Grand Est,211.0,3797585,5.5561626665367593e-05,2021
845,Hauts-de-France,328.0,6851925,4.7869759228246073e-05,2021
846,Normandie,110.0,1062712,0.0001035087587229654,2021
847,Nouvelle-Aquitaine,515.0,4189712,0.0001229201434370668,2021
848,Occitanie,192.0,2478201,7.747555585684939e-05,2021
849,Pays de la Loire,264.0,3283397,8.040453225729329e-05,2021
850,Provence-Alpes-Côte d'Azur,277.0,4522918,6.124364845880469e-05,2021
851,Île-de-France,729.0,23396435,3.1158593178832587e-05,2021
852,Auvergne-Rhône-Alpes,496.0,8656162,5.730022150694499e-05,2021
853,Bourgogne-Franche-Comté,117.0,1814245,6.448963618474903e-05,2021
854,Bretagne,183.0,826205,0.00022149466536755405,2021
855,Centre-Val de Loire,174.0,1432094,0.0001215004043030695,2021
856,Grand Est,236.0,4222918,5.588552749544272e-05,2021
857,Hauts-de-France,270.0,7619350,3.5436093630034055e-05,2021
858,Normandie,93.0,1181737,7.869771361986635e-05,2021
859,Nouvelle-Aquitaine,508.0,4658966,0.00010903706959870495,2021
860,Occitanie,252.0,2755762,9.144476192065934e-05,2021
861,Pays de la Loire,255.0,3651141,6.984118115405568e-05,2021
862,Provence-Alpes-Côte d'Azur,327.0,5029488,6.501655834550158e-05,2021
863,Île-de-France,846.0,26016853,3.251738402027332e-05,2021
