date,nb_objets
2019-01-20 00:00:00+00:00,1621
2019-01-27 00:00:00+00:00,1607
2019-02-03 00:00:00+00:00,1624
2019-02-10 00:00:00+00:00,1738
2019-02-17 00:00:00+00:00,1718
2019-02-24 00:00:00+00:00,1663
2019-03-03 00:00:00+00:00,1802
2019-03-10 00:00:00+00:00,1799
2019-03-17 00:00:00+00:00,1703
2019-03-24 00:00:00+00:00,1784
2019-03-31 00:00:00+00:00,1706
2019-04-07 00:00:00+00:00,1796
2019-04-14 00:00:00+00:00,1763
2019-04-21 00:00:00+00:00,1831
2019-04-28 00:00:00+00:00,1829
2019-05-05 00:00:00+00:00,1710
2019-05-12 00:00:00+00:00,1562
2019-05-19 00:00:00+00:00,1743
2019-05-26 00:00:00+00:00,1854
2019-06-02 00:00:00+00:00,1685
2019-06-09 00:00:00+00:00,1924
2019-06-16 00:00:00+00:00,1756
2019-06-23 00:00:00+00:00,2002
2019-06-30 00:00:00+00:00,1839
2019-07-07 00:00:00+00:00,2096
2019-07-14 00:00:00+00:00,2036
2019-07-21 00:00:00+00:00,2206
2019-07-28 00:00:00+00:00,1884
2019-08-04 00:00:00+00:00,1877
2019-08-11 00:00:00+00:00,1868
2019-08-18 00:00:00+00:00,1834
2019-08-25 00:00:00+00:00,1746
2019-09-01 00:00:00+00:00,1755
2019-09-08 00:00:00+00:00,1900
2019-09-15 00:00:00+00:00,1847
2019-09-22 00:00:00+00:00,2042
2019-09-29 00:00:00+00:00,1667
2019-10-06 00:00:00+00:00,1725
2019-10-13 00:00:00+00:00,1900
2019-10-20 00:00:00+00:00,1592
2019-10-27 00:00:00+00:00,1737
2019-11-03 00:00:00+00:00,1450
2019-11-10 00:00:00+00:00,1843
2019-11-17 00:00:00+00:00,1528
2019-11-24 00:00:00+00:00,1620
2019-12-01 00:00:00+00:00,1644
2019-12-08 00:00:00+00:00,1147
2019-12-15 00:00:00+00:00,530
2019-12-22 00:00:00+00:00,758
2019-12-29 00:00:00+00:00,764
2020-01-05 00:00:00+00:00,830
2020-01-12 00:00:00+00:00,996
2020-01-19 00:00:00+00:00,1187
2020-01-26 00:00:00+00:00,1358
2020-02-02 00:00:00+00:00,1496
2020-02-09 00:00:00+00:00,1560
2020-02-16 00:00:00+00:00,1670
2020-02-23 00:00:00+00:00,1665
2020-03-01 00:00:00+00:00,1623
2020-03-08 00:00:00+00:00,1514
2020-03-15 00:00:00+00:00,1387
2020-03-22 00:00:00+00:00,241
2020-03-29 00:00:00+00:00,15
2020-04-05 00:00:00+00:00,19
2020-04-12 00:00:00+00:00,30
2020-04-19 00:00:00+00:00,6
2020-04-26 00:00:00+00:00,11
2020-05-03 00:00:00+00:00,9
2020-05-10 00:00:00+00:00,12
2020-05-17 00:00:00+00:00,301
2020-05-24 00:00:00+00:00,315
2020-05-31 00:00:00+00:00,481
2020-06-07 00:00:00+00:00,495
2020-06-14 00:00:00+00:00,695
2020-06-21 00:00:00+00:00,832
2020-06-28 00:00:00+00:00,1002
2020-07-05 00:00:00+00:00,1204
2020-07-12 00:00:00+00:00,1315
2020-07-19 00:00:00+00:00,1317
2020-07-26 00:00:00+00:00,1326
2020-08-02 00:00:00+00:00,1283
2020-08-09 00:00:00+00:00,1239
2020-08-16 00:00:00+00:00,1147
2020-08-23 00:00:00+00:00,1248
2020-08-30 00:00:00+00:00,1368
2020-09-06 00:00:00+00:00,1298
2020-09-13 00:00:00+00:00,1226
2020-09-20 00:00:00+00:00,1224
2020-09-27 00:00:00+00:00,1160
2020-10-04 00:00:00+00:00,1187
2020-10-11 00:00:00+00:00,1082
2020-10-18 00:00:00+00:00,1251
2020-10-25 00:00:00+00:00,1198
2020-11-01 00:00:00+00:00,1072
2020-11-08 00:00:00+00:00,643
2020-11-15 00:00:00+00:00,343
2020-11-22 00:00:00+00:00,501
2020-11-29 00:00:00+00:00,468
2020-12-06 00:00:00+00:00,572
2020-12-13 00:00:00+00:00,630
2020-12-20 00:00:00+00:00,972
2020-12-27 00:00:00+00:00,968
2021-01-03 00:00:00+00:00,924
2021-01-10 00:00:00+00:00,939
2021-01-17 00:00:00+00:00,883
2021-01-24 00:00:00+00:00,856
2021-01-31 00:00:00+00:00,893
2021-02-07 00:00:00+00:00,904
2021-02-14 00:00:00+00:00,851
2021-02-21 00:00:00+00:00,974
2021-02-28 00:00:00+00:00,1042
2021-03-07 00:00:00+00:00,1045
2021-03-14 00:00:00+00:00,993
2021-03-21 00:00:00+00:00,906
2021-03-28 00:00:00+00:00,815
2021-04-04 00:00:00+00:00,929
2021-04-11 00:00:00+00:00,746
2021-04-18 00:00:00+00:00,624
2021-04-25 00:00:00+00:00,679
2021-05-02 00:00:00+00:00,685
2021-05-09 00:00:00+00:00,926
2021-05-16 00:00:00+00:00,916
2021-05-23 00:00:00+00:00,1056
2021-05-30 00:00:00+00:00,1091
2021-06-06 00:00:00+00:00,1194
2021-06-13 00:00:00+00:00,1207
2021-06-20 00:00:00+00:00,1244
2021-06-27 00:00:00+00:00,1318
2021-07-04 00:00:00+00:00,1364
2021-07-11 00:00:00+00:00,1604
2021-07-18 00:00:00+00:00,1511
2021-07-25 00:00:00+00:00,1576
2021-08-01 00:00:00+00:00,1424
2021-08-08 00:00:00+00:00,1422
2021-08-15 00:00:00+00:00,1555
2021-08-22 00:00:00+00:00,1439
2021-08-29 00:00:00+00:00,1517
2021-09-05 00:00:00+00:00,1482
2021-09-12 00:00:00+00:00,1436
2021-09-19 00:00:00+00:00,1503
2021-09-26 00:00:00+00:00,1314
2021-10-03 00:00:00+00:00,1472
2021-10-10 00:00:00+00:00,1421
2021-10-17 00:00:00+00:00,1566
2021-10-24 00:00:00+00:00,1362
2021-10-31 00:00:00+00:00,1366
2021-11-07 00:00:00+00:00,1390
2021-11-14 00:00:00+00:00,1319
2021-11-21 00:00:00+00:00,1335
2021-11-28 00:00:00+00:00,1217
2021-12-05 00:00:00+00:00,1277
2021-12-12 00:00:00+00:00,1358
2021-12-19 00:00:00+00:00,1462
2021-12-26 00:00:00+00:00,1300
2022-01-02 00:00:00+00:00,1033
