,code_dep,date,lat,long,tc
0,05,2016-12-31,44.565667,6.502333,10.767601778994207
1,05,2017-12-31,44.565667,6.502333,11.008990699276634
2,05,2018-12-31,44.565667,6.502332999999999,11.550776665516073
3,05,2019-12-31,44.565667,6.502333000000001,11.450137174211273
4,05,2020-12-31,44.565667,6.502333,11.404691780821938
5,05,2021-12-31,44.565667,6.502333000000001,10.471403991741248
6,06,2016-12-31,43.648833,7.2090000000000005,16.60260541652385
7,06,2017-12-31,43.648833,7.208999999999999,16.607076605977348
8,06,2018-12-31,43.648833,7.2090000000000005,17.110625859697407
9,06,2019-12-31,43.648833,7.208999999999999,16.828821110349576
10,06,2020-12-31,43.648833,7.209,16.835684931506872
11,06,2021-12-31,43.648833,7.209,16.408161865569298
12,09,2016-12-31,43.005333,1.106833,12.345741660752331
13,09,2017-12-31,43.005333,1.106833,12.302813476901724
14,09,2018-12-31,43.005333,1.106833,12.83104631217841
15,09,2019-12-31,43.005333,1.106833,12.706134338588097
16,09,2020-12-31,43.005333,1.106833,13.144547325102904
17,09,2021-12-31,43.005333,1.106833,12.286886395511944
18,10,2016-12-31,48.324667,4.02,11.134119658119682
19,10,2017-12-31,48.324667000000005,4.02,11.587087912087934
20,10,2018-12-31,48.324667,4.02,12.507204116638102
21,10,2019-12-31,48.324667,4.02,12.04059711736447
22,10,2020-12-31,48.324667000000005,4.02,12.766803418803441
23,10,2021-12-31,48.324667,4.02,11.175703500343193
24,12,2016-12-31,44.1185,3.0195,11.135091981950735
25,12,2017-12-31,44.1185,3.0195,11.133217993079608
26,12,2018-12-31,44.1185,3.0195,11.817474048442929
27,12,2019-12-31,44.1185,3.0194999999999994,11.308966244725761
28,12,2020-12-31,44.1185,3.0195,11.949093397194687
29,12,2021-12-31,44.1185,3.0194999999999994,10.844417306350337
30,13,2016-12-31,43.437667,5.216,16.174546698597357
31,13,2017-12-31,43.437667,5.216,16.041942148760356
32,13,2018-12-31,43.437667,5.216,16.699794097460558
33,13,2019-12-31,43.437667,5.216,16.296983201919804
34,13,2020-12-31,43.437667,5.216,16.32153110047849
35,13,2021-12-31,43.437667,5.216,15.776260720411686
36,14,2016-12-31,49.17999999999999,-0.45616700000000004,11.148993999294056
37,14,2017-12-31,49.18,-0.456167,11.705362667583385
38,14,2018-12-31,49.18,-0.456167,11.644571230982043
39,14,2019-12-31,49.18000000000001,-0.456167,11.575128644939989
40,14,2020-12-31,49.18,-0.456167,12.184291581108852
41,14,2021-12-31,49.18,-0.456167,11.259458521346778
42,17,2016-12-31,46.04683300000001,-1.4115,13.75894085281983
43,17,2017-12-31,46.046833,-1.4115,13.607352941176494
44,17,2018-12-31,46.046833,-1.4115,14.030922865013794
45,17,2019-12-31,46.046833,-1.4115,14.2037716262976
46,17,2020-12-31,46.046833,-1.4115,14.695250560957389
47,17,2021-12-31,46.046833,-1.4115,13.46373720136521
48,18,2016-12-31,47.059167,2.359833,11.500341997264044
49,18,2017-12-31,47.059167,2.359833,12.131318681318705
50,18,2018-12-31,47.059167,2.359833,13.294545454545476
51,18,2019-12-31,47.059167,2.359833,13.13265935572312
52,18,2020-12-31,47.059167,2.359833,13.509541723666233
53,18,2021-12-31,47.059167,2.359833,11.885195339273498
54,21,2016-12-31,47.26783300000001,5.088333,11.215721739130458
55,21,2017-12-31,47.267832999999996,5.088333,11.4969739130435
56,21,2018-12-31,47.267832999999996,5.088333,12.61225540679714
57,21,2019-12-31,47.267833,5.088333,12.220541838134453
58,21,2020-12-31,47.26783300000001,5.088333,12.71818493150687
59,21,2021-12-31,47.267833,5.088333,11.030991735537212
60,22,2016-12-31,48.825833,-3.4731669999999997,12.133287718097867
61,22,2017-12-31,48.825832999999996,-3.473167,12.434089347079059
62,22,2018-12-31,48.825833,-3.473167,12.248610634648394
63,22,2019-12-31,48.825833,-3.473167,12.339384288747368
64,22,2020-12-31,48.825833,-3.473167,12.716024759284753
65,22,2021-12-31,48.825833,-3.473167,12.11581843191199
66,26,2016-12-31,44.581167,4.733,14.200410256410278
67,26,2017-12-31,44.581167,4.733,14.524888277758704
68,26,2018-12-31,44.581167,4.733,14.967998622115076
69,26,2019-12-31,44.581167,4.733,14.801576962632867
70,26,2020-12-31,44.581167,4.733,14.955136986301392
71,26,2021-12-31,44.581167,4.733,13.79754410238674
72,29,2016-12-31,48.444167,-4.412,11.632124529592907
73,29,2017-12-31,48.444167,-4.412,11.716678395496151
74,29,2018-12-31,48.444167,-4.412,11.813450292397683
75,29,2019-12-31,48.444167,-4.412,11.792080905039446
76,29,2020-12-31,48.444167,-4.412,12.24837495723574
77,29,2021-12-31,48.444167,-4.412,11.585400959561367
78,31,2016-12-31,43.621,1.378833,14.307931623931648
79,31,2017-12-31,43.621,1.378833,14.231635111876098
80,31,2018-12-31,43.621,1.378833,14.817370408513582
81,31,2019-12-31,43.621,1.378833,14.658978752570276
82,31,2020-12-31,43.621,1.378833,15.060444444444467
83,31,2021-12-31,43.621,1.378833,14.00988671472711
84,33,2016-12-31,44.830667,-0.691333,13.975085440874937
85,33,2017-12-31,44.830667,-0.691333,13.974896978022
86,33,2018-12-31,44.830667,-0.691333,14.583327615780469
87,33,2019-12-31,44.830667,-0.691333,14.492734749828672
88,33,2020-12-31,44.830667,-0.691333,14.907689678742333
89,33,2021-12-31,44.830667,-0.691333,13.770562028786863
90,34,2016-12-31,43.577,3.963167,15.687332646755946
91,34,2017-12-31,43.577,3.963167,15.629553264604834
92,34,2018-12-31,43.577,3.963167,16.16266713581987
