date,type,nb_objets
2016-02-07 00:00:00+00:00,Divers,29
2016-02-07 00:00:00+00:00,Instruments de musique,8
2016-02-07 00:00:00+00:00,"Livres, articles de papéterie",46
2016-02-07 00:00:00+00:00,Optique,104
2016-02-07 00:00:00+00:00,Parapluies,33
2016-02-07 00:00:00+00:00,Pièces d'identités et papiers personnels,170
2016-02-07 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",174
2016-02-07 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",24
2016-02-07 00:00:00+00:00,"Vêtements, chaussures",201
2016-02-14 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",256
2016-02-14 00:00:00+00:00,"Articles d'enfants, de puériculture",17
2016-02-14 00:00:00+00:00,"Articles de sport, loisirs, camping",19
2016-02-14 00:00:00+00:00,Articles médicaux,13
2016-02-14 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",505
2016-02-14 00:00:00+00:00,"Bijoux, montres",26
2016-02-14 00:00:00+00:00,"Clés, porte-clés, badge magnétique",98
2016-02-14 00:00:00+00:00,Divers,27
2016-02-14 00:00:00+00:00,Instruments de musique,1
2016-02-14 00:00:00+00:00,"Livres, articles de papéterie",52
2016-02-14 00:00:00+00:00,Optique,95
2016-02-14 00:00:00+00:00,Parapluies,61
2016-02-14 00:00:00+00:00,Pièces d'identités et papiers personnels,144
2016-02-14 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",200
2016-02-14 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",21
2016-02-14 00:00:00+00:00,"Vêtements, chaussures",212
2016-02-21 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",209
2016-02-21 00:00:00+00:00,"Articles d'enfants, de puériculture",24
2016-02-21 00:00:00+00:00,"Articles de sport, loisirs, camping",16
2016-02-21 00:00:00+00:00,Articles médicaux,7
2016-02-21 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",457
2016-02-21 00:00:00+00:00,"Bijoux, montres",22
2016-02-21 00:00:00+00:00,"Clés, porte-clés, badge magnétique",75
2016-02-21 00:00:00+00:00,Divers,25
2016-02-21 00:00:00+00:00,Instruments de musique,4
2016-02-21 00:00:00+00:00,"Livres, articles de papéterie",35
2016-02-21 00:00:00+00:00,Optique,85
2016-02-21 00:00:00+00:00,Parapluies,20
2016-02-21 00:00:00+00:00,Pièces d'identités et papiers personnels,188
2016-02-21 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",202
2016-02-21 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",17
2016-02-21 00:00:00+00:00,"Vêtements, chaussures",205
2016-02-28 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",254
2016-02-28 00:00:00+00:00,"Articles d'enfants, de puériculture",36
2016-02-28 00:00:00+00:00,"Articles de sport, loisirs, camping",19
2016-02-28 00:00:00+00:00,Articles médicaux,3
2016-02-28 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",513
2016-02-28 00:00:00+00:00,"Bijoux, montres",21
2016-02-28 00:00:00+00:00,"Clés, porte-clés, badge magnétique",69
2016-02-28 00:00:00+00:00,Divers,33
2016-02-28 00:00:00+00:00,Instruments de musique,3
2016-02-28 00:00:00+00:00,"Livres, articles de papéterie",42
2016-02-28 00:00:00+00:00,Optique,103
2016-02-28 00:00:00+00:00,Parapluies,32
2016-02-28 00:00:00+00:00,Pièces d'identités et papiers personnels,153
2016-02-28 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",188
2016-02-28 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",18
2016-02-28 00:00:00+00:00,"Vêtements, chaussures",229
2016-03-06 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",227
2016-03-06 00:00:00+00:00,"Articles d'enfants, de puériculture",22
2016-03-06 00:00:00+00:00,"Articles de sport, loisirs, camping",20
2016-03-06 00:00:00+00:00,Articles médicaux,7
2016-03-06 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",519
2016-03-06 00:00:00+00:00,"Bijoux, montres",13
2016-03-06 00:00:00+00:00,"Clés, porte-clés, badge magnétique",98
2016-03-06 00:00:00+00:00,Divers,42
2016-03-06 00:00:00+00:00,Instruments de musique,3
2016-03-06 00:00:00+00:00,"Livres, articles de papéterie",53
2016-03-06 00:00:00+00:00,Optique,96
2016-03-06 00:00:00+00:00,Parapluies,39
2016-03-06 00:00:00+00:00,Pièces d'identités et papiers personnels,160
2016-03-06 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",205
2016-03-06 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",18
2016-03-06 00:00:00+00:00,"Vêtements, chaussures",207
2016-03-13 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",236
2016-03-13 00:00:00+00:00,"Articles d'enfants, de puériculture",18
2016-03-13 00:00:00+00:00,"Articles de sport, loisirs, camping",8
2016-03-13 00:00:00+00:00,Articles médicaux,7
2016-03-13 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",433
2016-03-13 00:00:00+00:00,"Bijoux, montres",13
2016-03-13 00:00:00+00:00,"Clés, porte-clés, badge magnétique",108
2016-03-13 00:00:00+00:00,Divers,26
2016-03-13 00:00:00+00:00,Instruments de musique,3
2016-03-13 00:00:00+00:00,"Livres, articles de papéterie",47
2016-03-13 00:00:00+00:00,Optique,86
2016-03-13 00:00:00+00:00,Parapluies,30
2016-03-13 00:00:00+00:00,Pièces d'identités et papiers personnels,145
2016-03-13 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",190
2016-03-13 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",20
2016-03-13 00:00:00+00:00,"Vêtements, chaussures",199
2016-03-20 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",269
2016-03-20 00:00:00+00:00,"Articles d'enfants, de puériculture",15
2016-03-20 00:00:00+00:00,"Articles de sport, loisirs, camping",20
2016-03-20 00:00:00+00:00,Articles médicaux,9
2016-03-20 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",526
2016-03-20 00:00:00+00:00,"Bijoux, montres",17
2016-03-20 00:00:00+00:00,"Clés, porte-clés, badge magnétique",76
2016-03-20 00:00:00+00:00,Divers,33
2016-03-20 00:00:00+00:00,Instruments de musique,2
2016-03-20 00:00:00+00:00,"Livres, articles de papéterie",47
2016-03-20 00:00:00+00:00,Optique,100
2016-03-20 00:00:00+00:00,Parapluies,13
2016-03-20 00:00:00+00:00,Pièces d'identités et papiers personnels,138
2016-03-20 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",173
2016-03-20 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",19
2016-03-20 00:00:00+00:00,"Vêtements, chaussures",182
2016-03-27 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",272
2016-03-27 00:00:00+00:00,"Articles d'enfants, de puériculture",29
2016-03-27 00:00:00+00:00,"Articles de sport, loisirs, camping",15
2016-03-27 00:00:00+00:00,Articles médicaux,11
2016-03-27 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",531
2016-03-27 00:00:00+00:00,"Bijoux, montres",18
2016-03-27 00:00:00+00:00,"Clés, porte-clés, badge magnétique",105
2016-03-27 00:00:00+00:00,Divers,34
2016-03-27 00:00:00+00:00,Instruments de musique,10
2016-03-27 00:00:00+00:00,"Livres, articles de papéterie",52
2016-03-27 00:00:00+00:00,Optique,101
2016-03-27 00:00:00+00:00,Parapluies,20
2016-03-27 00:00:00+00:00,Pièces d'identités et papiers personnels,178
2016-03-27 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",200
2016-03-27 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",15
2016-03-27 00:00:00+00:00,"Vêtements, chaussures",207
2016-04-03 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",240
2016-04-03 00:00:00+00:00,"Articles d'enfants, de puériculture",32
2016-04-03 00:00:00+00:00,"Articles de sport, loisirs, camping",25
2016-04-03 00:00:00+00:00,Articles médicaux,12
2016-04-03 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",491
2016-04-03 00:00:00+00:00,"Bijoux, montres",14
2016-04-03 00:00:00+00:00,"Clés, porte-clés, badge magnétique",90
2016-04-03 00:00:00+00:00,Divers,37
2016-04-03 00:00:00+00:00,Instruments de musique,10
2016-04-03 00:00:00+00:00,"Livres, articles de papéterie",50
2016-04-03 00:00:00+00:00,Optique,69
2016-04-03 00:00:00+00:00,Parapluies,44
2016-04-03 00:00:00+00:00,Pièces d'identités et papiers personnels,170
2016-04-03 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",206
2016-04-03 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",14
2016-04-03 00:00:00+00:00,"Vêtements, chaussures",188
2016-04-10 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",256
2016-04-10 00:00:00+00:00,"Articles d'enfants, de puériculture",21
2016-04-10 00:00:00+00:00,"Articles de sport, loisirs, camping",13
2016-04-10 00:00:00+00:00,Articles médicaux,8
2016-04-10 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",511
2016-04-10 00:00:00+00:00,"Bijoux, montres",13
2016-04-10 00:00:00+00:00,"Clés, porte-clés, badge magnétique",90
2016-04-10 00:00:00+00:00,Divers,35
2016-04-10 00:00:00+00:00,Instruments de musique,7
2016-04-10 00:00:00+00:00,"Livres, articles de papéterie",57
2016-04-10 00:00:00+00:00,Optique,103
2016-04-10 00:00:00+00:00,Parapluies,27
2016-04-10 00:00:00+00:00,Pièces d'identités et papiers personnels,169
2016-04-10 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",224
2016-04-10 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",20
2016-04-10 00:00:00+00:00,"Vêtements, chaussures",194
2016-04-17 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",274
2016-04-17 00:00:00+00:00,"Articles d'enfants, de puériculture",30
2016-04-17 00:00:00+00:00,"Articles de sport, loisirs, camping",17
2016-04-17 00:00:00+00:00,Articles médicaux,9
2016-04-17 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",528
2016-04-17 00:00:00+00:00,"Bijoux, montres",16
2016-04-17 00:00:00+00:00,"Clés, porte-clés, badge magnétique",127
2016-04-17 00:00:00+00:00,Divers,44
2016-04-17 00:00:00+00:00,Instruments de musique,4
2016-04-17 00:00:00+00:00,"Livres, articles de papéterie",50
2016-04-17 00:00:00+00:00,Optique,118
2016-04-17 00:00:00+00:00,Parapluies,29
2016-04-17 00:00:00+00:00,Pièces d'identités et papiers personnels,170
2016-04-17 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",252
2016-04-17 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",28
2016-04-17 00:00:00+00:00,"Vêtements, chaussures",215
2016-04-24 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",285
2016-04-24 00:00:00+00:00,"Articles d'enfants, de puériculture",28
2016-04-24 00:00:00+00:00,"Articles de sport, loisirs, camping",20
2016-04-24 00:00:00+00:00,Articles médicaux,12
