,temperature_moyenne,nb_lost_item
400,-0.7374999999999999,5
401,-0.7250000000000001,3
402,-0.725,1
403,-0.7125,5
404,-0.7124999999999999,10
405,-0.7000000000000001,6
406,-0.6875000000000001,1
407,-0.6857142857142858,10
408,-0.6857142857142857,2
409,-0.675,43
410,-0.6749999999999999,5
411,-0.6625000000000001,21
412,-0.6625,3
413,-0.6571428571428571,6
414,-0.65,23
415,-0.6499999999999999,17
416,-0.6375000000000001,1
417,-0.6375,17
418,-0.6374999999999998,6
419,-0.6285714285714287,1
420,-0.6249999999999999,19
421,-0.6125,15
422,-0.6000000000000002,4
423,-0.6,26
424,-0.5875000000000001,2
425,-0.5857142857142856,1
426,-0.5750000000000001,1
427,-0.575,11
428,-0.5625000000000001,15
429,-0.5625,26
430,-0.5624999999999999,3
431,-0.5624999999999998,1
432,-0.55,32
433,-0.5428571428571429,1
434,-0.5375000000000001,11
435,-0.525,15
436,-0.5125000000000001,1
437,-0.5,1
438,-0.49999999999999994,1
439,-0.4999999999999999,2
440,-0.48750000000000004,1
441,-0.48749999999999993,8
442,-0.48571428571428577,1
443,-0.47500000000000003,34
444,-0.475,13
445,-0.47142857142857153,11
446,-0.4625,17
447,-0.46249999999999997,2
448,-0.4571428571428572,1
449,-0.44999999999999996,15
450,-0.442857142857143,4
451,-0.4375000000000002,6
452,-0.4375,5
453,-0.4374999999999998,2
454,-0.42500000000000004,11
455,-0.425,5
456,-0.4249999999999999,18
457,-0.4125,1
458,-0.4124999999999999,7
459,-0.4000000000000001,11
460,-0.4,16
461,-0.3999999999999999,1
462,-0.38749999999999996,11
463,-0.37500000000000006,6
464,-0.375,12
465,-0.3749999999999999,2
466,-0.36250000000000004,2
467,-0.36249999999999993,4
468,-0.35714285714285715,3
469,-0.35000000000000003,1
470,-0.35,7
471,-0.33750000000000013,18
472,-0.3375,4
473,-0.33749999999999997,14
474,-0.3285714285714287,19
475,-0.325,15
476,-0.31428571428571433,1
477,-0.31250000000000006,6
478,-0.3125,12
479,-0.3000000000000001,10
480,-0.30000000000000004,12
481,-0.3,26
482,-0.29999999999999993,5
483,-0.28750000000000003,2
484,-0.2874999999999999,1
485,-0.27500000000000024,2
486,-0.275,8
487,-0.2624999999999999,3
488,-0.2500000000000001,2
489,-0.24999999999999994,29
490,-0.2375000000000001,6
491,-0.23749999999999993,3
492,-0.23749999999999988,2
493,-0.22857142857142862,4
494,-0.2250000000000001,3
495,-0.22500000000000006,3
496,-0.225,3
497,-0.22499999999999998,19
498,-0.21666666666666667,1
499,-0.21428571428571427,3
500,-0.21250000000000008,5
501,-0.21250000000000002,1
502,-0.19999999999999998,5
503,-0.19999999999999996,1
504,-0.1875,30
505,-0.18749999999999997,2
506,-0.18571428571428564,5
507,-0.175,55
508,-0.17142857142857157,11
509,-0.1625000000000001,22
510,-0.16250000000000006,19
511,-0.16249999999999987,2
512,-0.15714285714285708,1
513,-0.15000000000000008,7
514,-0.15000000000000002,11
515,-0.1499999999999999,17
516,-0.13750000000000007,2
517,-0.13750000000000004,1
518,-0.1375,6
519,-0.1285714285714286,6
520,-0.11428571428571428,22
521,-0.11250000000000004,9
522,-0.11250000000000002,6
523,-0.11249999999999999,17
524,-0.1,2
525,-0.09999999999999999,2
526,-0.09999999999999998,32
527,-0.08750000000000004,22
528,-0.08750000000000002,48
529,-0.08750000000000001,6
530,-0.0875,22
531,-0.08749999999999998,2
532,-0.07500000000000007,9
533,-0.07142857142857142,10
534,-0.07142857142857137,2
535,-0.06250000000000001,21
536,-0.0625,8
537,-0.0500000000000001,6
538,-0.050000000000000065,1
539,-0.050000000000000044,7
540,-0.04999999999999996,2
541,-0.04285714285714285,1
542,-0.04285714285714283,1
543,-0.04,1
544,-0.03750000000000009,14
545,-0.037500000000000026,1
546,-0.037500000000000006,5
547,-0.03749999999999998,2
548,-0.03749999999999992,5
549,-0.025000000000000022,22
550,-0.02500000000000002,1
551,-0.025,22
552,-0.024999999999999994,9
553,-0.014285714285714294,7
554,-0.012500000000000053,1
555,-0.012499999999999994,3
556,-0.012499999999999956,3
557,-5.551115123125783e-17,5
558,0.0,8
559,1.3877787807814457e-17,1
560,0.012499999999999942,1
561,0.012499999999999956,4
562,0.012500000000000011,13
563,0.02499999999999991,5
564,0.024999999999999967,3
565,0.025000000000000022,12
566,0.025000000000000036,5
567,0.03749999999999995,4
568,0.03749999999999998,1
569,0.03750000000000003,3
570,0.03750000000000004,1
571,0.05,6
572,0.05000000000000001,1
573,0.05000000000000003,4
574,0.050000000000000044,11
575,0.06249999999999997,1
576,0.0625,4
577,0.06250000000000003,1
578,0.0714285714285714,3
579,0.07499999999999996,6
580,0.075,1
581,0.07500000000000001,1
582,0.07500000000000007,1
583,0.08571428571428553,12
584,0.08571428571428563,1
585,0.08749999999999991,5
586,0.08749999999999997,2
587,0.0875,16
588,0.08750000000000008,2
589,0.09999999999999998,19
590,0.10000000000000002,2
591,0.10000000000000003,22
592,0.10000000000000005,1
593,0.11249999999999988,21
594,0.11249999999999993,3
595,0.11249999999999999,10
596,0.11428571428571432,3
597,0.11666666666666664,17
598,0.12499999999999997,23
599,0.125,9
600,0.12500000000000003,2
601,0.12500000000000006,1
602,0.1375,1
603,0.14999999999999997,17
604,0.15000000000000002,2
605,0.1571428571428571,19
606,0.16249999999999995,25
607,0.1625,20
608,0.16250000000000003,1
609,0.1625000000000001,8
610,0.17500000000000004,2
611,0.18571428571428575,5
612,0.18749999999999997,2
613,0.1875,26
614,0.18750000000000003,1
615,0.18750000000000008,3
616,0.19999999999999998,18
617,0.20000000000000007,1
618,0.2125,31
619,0.22499999999999998,15
620,0.225,7
621,0.22500000000000003,15
622,0.2250000000000002,2
623,0.2285714285714285,4
624,0.23749999999999996,15
625,0.2375,14
626,0.23750000000000016,1
627,0.24999999999999992,6
628,0.24999999999999997,15
629,0.25,20
630,0.25000000000000006,1
631,0.2624999999999999,6
632,0.2625,23
633,0.27499999999999986,3
634,0.27499999999999997,1
635,0.275,15
636,0.2875,21
637,0.28750000000000003,6
638,0.2875000000000001,2
639,0.29999999999999993,6
640,0.3,14
641,0.30000000000000004,33
642,0.3125,26
643,0.32499999999999984,2
644,0.32499999999999996,6
645,0.325,33
646,0.32500000000000007,11
647,0.33749999999999997,8
648,0.3375,43
649,0.3375000000000001,5
650,0.35,11
651,0.35000000000000003,3
652,0.36249999999999993,8
653,0.3625,6
654,0.36250000000000004,8
655,0.37499999999999994,8
656,0.375,5
657,0.38571428571428573,1
658,0.3875,2
659,0.3999999999999999,2
660,0.39999999999999997,2
661,0.4,3
662,0.4000000000000001,1
663,0.40000000000000013,21
664,0.41250000000000003,16
665,0.42499999999999993,1
666,0.425,4
667,0.42500000000000004,3
668,0.4250000000000001,7
669,0.42857142857142866,15
670,0.4375,15
671,0.43750000000000006,12
672,0.4428571428571429,4
673,0.44999999999999984,17
674,0.44999999999999996,21
675,0.45,20
676,0.45000000000000007,57
677,0.46249999999999997,5
678,0.4625,51
679,0.4625000000000001,16
680,0.47499999999999987,5
681,0.475,7
682,0.47500000000000003,8
683,0.48571428571428565,1
684,0.48749999999999993,28
685,0.4875,14
686,0.48750000000000004,2
687,0.5,15
688,0.5125,2
689,0.5249999999999999,18
690,0.525,16
691,0.5285714285714286,2
692,0.5375,55
693,0.5375000000000001,11
694,0.5375000000000002,13
695,0.5428571428571429,2
696,0.55,9
697,0.5624999999999998,2
698,0.5625,9
699,0.5625000000000001,1
700,0.575,13
701,0.5750000000000001,4
702,0.5750000000000002,5
703,0.5857142857142856,29
704,0.5874999999999999,13
705,0.5875,32
706,0.5875000000000001,10
707,0.5999999999999999,1
708,0.6,5
709,0.6000000000000001,7
710,0.6125,2
711,0.6249999999999999,8
712,0.625,10
713,0.6375,9
714,0.6375000000000001,4
715,0.6499999999999999,7
716,0.65,4
717,0.6625,8
718,0.675,24
719,0.6750000000000002,3
720,0.6857142857142857,3
721,0.6874999999999999,3
722,0.6875,7
723,0.6875000000000001,10
724,0.7,15
725,0.7000000000000001,9
726,0.7124999999999999,12
727,0.7125,45
728,0.7142857142857143,22
729,0.7249999999999999,1
730,0.725,24
731,0.7250000000000001,13
732,0.7374999999999999,7
733,0.7375,34
734,0.7428571428571428,2
735,0.7499999999999999,1
736,0.75,31
737,0.7500000000000001,7
738,0.757142857142857,7
739,0.76,3
740,0.7625,17
741,0.7625000000000001,2
742,0.7714285714285714,3
743,0.7714285714285715,14
744,0.7749999999999997,2
745,0.7749999999999999,10
746,0.775,8
747,0.7750000000000001,11
748,0.7874999999999999,5
749,0.7875,17
750,0.7875000000000001,7
751,0.7999999999999999,14
752,0.8,16
753,0.8000000000000002,9
754,0.8124999999999999,4
755,0.8125000000000001,2
756,0.8142857142857143,17
757,0.825,1
758,0.8250000000000001,9
759,0.8285714285714286,12
760,0.8374999999999999,10
761,0.8375,52
762,0.8375000000000001,1
763,0.8428571428571427,24
764,0.8499999999999999,9
765,0.85,4
766,0.8500000000000001,22
767,0.8624999999999999,13
768,0.8625,20
769,0.8714285714285713,13
770,0.8714285714285716,1
771,0.8749999999999998,2
772,0.875,18
773,0.8750000000000001,4
774,0.8875,9
775,0.8875000000000001,20
776,0.8875000000000002,1
777,0.8999999999999998,4
778,0.9,11
779,0.9000000000000001,19
780,0.9124999999999999,6
781,0.9125,22
782,0.9125000000000001,7
783,0.9142857142857144,12
784,0.9249999999999998,2
785,0.9249999999999999,9
786,0.925,40
787,0.9285714285714287,3
788,0.9374999999999998,3
789,0.9374999999999999,17
790,0.9375,31
791,0.95,3
792,0.9500000000000001,11
793,0.9624999999999999,1
794,0.9625,32
795,0.9625000000000001,4
796,0.9714285714285713,1
797,0.9749999999999998,3
798,0.9749999999999999,2
799,0.975,17
800,0.9750000000000001,11
801,0.9857142857142857,4
802,0.9857142857142858,3
803,0.9874999999999999,8
804,0.9875,22
805,0.9999999999999998,16
806,0.9999999999999999,13
807,1.0,44
808,1.0000000000000002,3
809,1.0125,13
810,1.0125000000000002,3
811,1.0142857142857145,3
812,1.025,26
813,1.0250000000000001,35
814,1.0285714285714285,2
815,1.0285714285714287,7
816,1.0374999999999999,10
817,1.0499999999999998,22
818,1.05,11
819,1.0571428571428572,4
820,1.0625,21
821,1.075,5
822,1.0750000000000002,4
823,1.0750000000000004,9
824,1.0875,39
825,1.0875000000000001,27
826,1.0999999999999996,1
827,1.0999999999999999,6
828,1.1,34
829,1.1124999999999998,12
830,1.1125,14
831,1.1142857142857143,1
832,1.125,26
833,1.1285714285714286,30
834,1.1374999999999997,4
835,1.1375,28
836,1.1375000000000002,7
837,1.1428571428571428,9
838,1.15,90
839,1.1500000000000001,10
840,1.1571428571428568,2
841,1.1624999999999999,14
842,1.1625,2
843,1.175,12
844,1.1750000000000003,13
845,1.1874999999999996,6
846,1.1874999999999998,11
847,1.1875,21
848,1.1875000000000002,6
849,1.1999999999999997,1
850,1.2,22
851,1.2000000000000002,5
852,1.2125,2
853,1.2125000000000001,11
854,1.2142857142857142,21
855,1.2249999999999999,15
856,1.225,10
857,1.2250000000000003,3
858,1.2285714285714289,11
859,1.2374999999999998,38
860,1.2375,48
861,1.2375000000000003,2
862,1.2428571428571427,1
863,1.25,25
864,1.257142857142857,2
865,1.2571428571428576,1
866,1.2624999999999997,6
867,1.2625,24
868,1.2625000000000002,10
869,1.2714285714285711,6
870,1.2749999999999997,7
871,1.275,11
872,1.2750000000000001,4
873,1.2857142857142858,10
874,1.2875,14
875,1.2999999999999998,3
876,1.3,10
877,1.3000000000000003,17
878,1.3124999999999998,2
879,1.3125,31
880,1.325,15
881,1.3250000000000002,1
882,1.3285714285714285,2
883,1.3375,12
884,1.3499999999999999,26
885,1.35,21
886,1.3571428571428572,6
887,1.3624999999999998,18
888,1.3625,13
889,1.3749999999999998,1
890,1.375,45
891,1.3750000000000002,4
892,1.3857142857142857,3
893,1.385714285714286,20
894,1.3874999999999997,8
895,1.3875,19
896,1.3875000000000002,4
897,1.4,26
898,1.4000000000000001,9
899,1.4124999999999996,4
900,1.4124999999999999,6
901,1.4125,24
902,1.4125000000000005,23
903,1.4142857142857141,12
904,1.4249999999999998,33
905,1.425,19
906,1.4250000000000003,1
907,1.4374999999999998,19
908,1.4375,29
909,1.4428571428571428,7
910,1.442857142857143,4
911,1.45,17
912,1.457142857142857,25
913,1.4625,14
914,1.4625000000000001,33
915,1.4625000000000004,2
916,1.4714285714285715,3
917,1.4749999999999999,8
918,1.475,68
919,1.4857142857142855,3
920,1.4874999999999998,36
921,1.4875,11
922,1.4875000000000003,4
923,1.5,24
924,1.5000000000000002,7
925,1.5124999999999997,18
926,1.5125,36
927,1.5125000000000002,17
928,1.5249999999999997,15
929,1.525,1
930,1.5250000000000001,3
931,1.5333333333333334,4
932,1.5374999999999996,5
933,1.5374999999999999,14
934,1.5375,24
935,1.542857142857143,4
936,1.5499999999999998,16
937,1.55,42
938,1.5500000000000003,18
939,1.5571428571428572,1
940,1.5571428571428574,1
941,1.5624999999999998,9
942,1.5625,11
943,1.5625000000000002,1
944,1.5749999999999997,1
945,1.575,26
946,1.5750000000000002,19
947,1.5857142857142856,2
948,1.5875,2
949,1.5875000000000001,8
950,1.5999999999999999,4
951,1.6,11
952,1.6124999999999998,13
953,1.6125,24
954,1.6249999999999998,10
955,1.625,62
956,1.6285714285714286,2
957,1.6374999999999997,3
958,1.6375,19
959,1.6375000000000002,14
960,1.65,43
961,1.6500000000000004,4
962,1.6624999999999996,2
963,1.6624999999999999,12
964,1.6625,14
965,1.6714285714285713,4
966,1.6749999999999998,11
967,1.6750000000000003,19
968,1.6874999999999998,12
969,1.6875,20
970,1.6875000000000002,1
971,1.6999999999999997,25
972,1.7,5
973,1.7000000000000002,23
974,1.7000000000000004,2
975,1.7125,17
976,1.7125000000000001,2
977,1.7125000000000004,8
978,1.7249999999999999,1
979,1.725,26
980,1.7285714285714289,4
981,1.7374999999999998,15
982,1.7375,22
983,1.7428571428571427,19
984,1.7499999999999998,23
985,1.75,26
986,1.7500000000000002,2
987,1.7625,33
988,1.7625000000000002,7
989,1.7666666666666668,11
990,1.7714285714285711,12
991,1.7714285714285716,6
992,1.7714285714285718,2
993,1.7749999999999997,14
994,1.775,38
995,1.7750000000000001,4
996,1.7857142857142854,2
997,1.7875,17
998,1.7999999999999996,1
999,1.7999999999999998,12
1000,1.8,52
1001,1.8000000000000003,10
1002,1.8125,22
1003,1.8125000000000002,3
1004,1.8249999999999997,3
1005,1.825,12
1006,1.8250000000000002,13
1007,1.8375,18
1008,1.8375000000000001,5
1009,1.8499999999999996,4
1010,1.8499999999999999,7
1011,1.85,52
1012,1.8624999999999998,33
1013,1.8625,13
1014,1.8625000000000003,11
1015,1.8714285714285714,13
1016,1.8714285714285717,3
1017,1.8749999999999998,17
1018,1.875,18
1019,1.8833333333333335,2
1020,1.8874999999999997,19
1021,1.8875,14
1022,1.8875000000000002,25
1023,1.9,34
1024,1.9000000000000001,24
1025,1.9124999999999999,3
1026,1.9125,20
1027,1.9125000000000003,5
1028,1.9249999999999998,1
1029,1.925,26
1030,1.9250000000000003,6
1031,1.9285714285714286,14
1032,1.9374999999999998,14
1033,1.9375,6
1034,1.9499999999999997,2
1035,1.95,18
1036,1.9500000000000002,19
1037,1.957142857142857,11
1038,1.9571428571428573,15
1039,1.9624999999999997,14
1040,1.9625,33
1041,1.9625000000000001,12
1042,1.9625000000000004,2
1043,1.9749999999999999,13
1044,1.975,35
1045,1.9750000000000003,6
1046,1.9857142857142858,1
1047,1.9874999999999998,15
1048,1.9875,8
1049,1.9875000000000003,12
1050,1.9999999999999998,18
1051,2.0,53
1052,2.0000000000000004,5
1053,2.0124999999999997,7
1054,2.0125,15
1055,2.0125000000000006,9
1056,2.0142857142857147,9
1057,2.025,7
1058,2.0250000000000004,4
1059,2.028571428571429,18
1060,2.0374999999999996,3
1061,2.0375,15
1062,2.042857142857143,2
1063,2.05,30
1064,2.0500000000000003,27
1065,2.057142857142857,2
1066,2.0625,62
1067,2.0625000000000004,15
1068,2.071428571428571,1
1069,2.0714285714285716,10
1070,2.0749999999999997,18
1071,2.075,24
1072,2.0875,25
1073,2.1,48
1074,2.1125,11
1075,2.1125000000000003,26
1076,2.1142857142857143,3
1077,2.125,48
1078,2.1285714285714286,3
1079,2.1374999999999997,6
1080,2.1375,23
1081,2.15,32
1082,2.1500000000000004,37
1083,2.1624999999999996,4
1084,2.1625,21
1085,2.175,86
1086,2.1750000000000003,9
1087,2.1874999999999996,4
1088,2.1875,60
1089,2.1875000000000004,5
1090,2.1999999999999997,5
1091,2.2,37
1092,2.2124999999999995,2
1093,2.2125,49
1094,2.2125000000000004,18
1095,2.2249999999999996,9
1096,2.225,51
1097,2.2285714285714286,4
1098,2.2375,56
1099,2.2375000000000003,11
1100,2.2375000000000007,3
1101,2.25,37
1102,2.2500000000000004,1
1103,2.2624999999999997,19
1104,2.2625,44
1105,2.2714285714285714,2
1106,2.2749999999999995,2
1107,2.275,10
1108,2.2750000000000004,43
1109,2.2874999999999996,3
1110,2.2875,47
1111,2.2875000000000005,10
1112,2.3,29
1113,2.3000000000000003,28
1114,2.3000000000000007,3
1115,2.3124999999999996,4
1116,2.3125,42
1117,2.314285714285714,1
1118,2.32,2
1119,2.3249999999999997,15
1120,2.325,25
1121,2.3285714285714287,11
1122,2.3375,17
1123,2.3375000000000004,41
1124,2.342857142857143,2
1125,2.3499999999999996,52
1126,2.35,29
1127,2.357142857142857,2
1128,2.3625,18
1129,2.3625000000000003,10
1130,2.3749999999999996,12
1131,2.375,17
1132,2.3750000000000004,23
1133,2.3874999999999997,9
1134,2.3875,45
1135,2.4,18
1136,2.4000000000000004,20
1137,2.4124999999999996,5
1138,2.4125,26
1139,2.414285714285714,9
1140,2.4249999999999994,1
1141,2.425,44
1142,2.4375,62
1143,2.4499999999999997,64
1144,2.45,49
1145,2.457142857142857,12
1146,2.4624999999999995,8
1147,2.4625,44
1148,2.4625000000000004,12
1149,2.4749999999999996,20
1150,2.475,29
1151,2.4750000000000005,2
1152,2.485714285714286,5
1153,2.4875,43
1154,2.4875000000000003,32
1155,2.4875000000000007,2
1156,2.4999999999999996,16
1157,2.5,83
1158,2.5124999999999997,7
1159,2.5125,42
1160,2.514285714285714,2
1161,2.5142857142857147,4
1162,2.525,41
1163,2.5250000000000004,15
1164,2.5285714285714285,11
1165,2.528571428571429,3
1166,2.533333333333333,1
1167,2.5374999999999996,21
1168,2.5375,32
