date,type,nb_objets
2016-01-07 00:00:00+00:00,"Articles d'enfants, de puériculture",5
2016-01-07 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-07 00:00:00+00:00,Articles médicaux,5
2016-01-07 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",83
2016-01-07 00:00:00+00:00,"Bijoux, montres",6
2016-01-07 00:00:00+00:00,"Clés, porte-clés, badge magnétique",22
2016-01-07 00:00:00+00:00,Divers,10
2016-01-07 00:00:00+00:00,Instruments de musique,1
2016-01-07 00:00:00+00:00,"Livres, articles de papéterie",9
2016-01-07 00:00:00+00:00,Optique,18
2016-01-07 00:00:00+00:00,Parapluies,9
2016-01-07 00:00:00+00:00,Pièces d'identités et papiers personnels,47
2016-01-07 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",44
2016-01-07 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-07 00:00:00+00:00,"Vêtements, chaussures",29
2016-01-08 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",29
2016-01-08 00:00:00+00:00,"Articles d'enfants, de puériculture",3
2016-01-08 00:00:00+00:00,"Articles de sport, loisirs, camping",2
2016-01-08 00:00:00+00:00,Articles médicaux,2
2016-01-08 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",88
2016-01-08 00:00:00+00:00,"Bijoux, montres",7
2016-01-08 00:00:00+00:00,"Clés, porte-clés, badge magnétique",17
2016-01-08 00:00:00+00:00,Divers,4
2016-01-08 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-08 00:00:00+00:00,Optique,11
2016-01-08 00:00:00+00:00,Parapluies,4
2016-01-08 00:00:00+00:00,Pièces d'identités et papiers personnels,39
2016-01-08 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",19
2016-01-08 00:00:00+00:00,"Vêtements, chaussures",24
2016-01-09 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",20
2016-01-09 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-09 00:00:00+00:00,Articles médicaux,1
2016-01-09 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",40
2016-01-09 00:00:00+00:00,"Bijoux, montres",1
2016-01-09 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4
2016-01-09 00:00:00+00:00,Divers,2
2016-01-09 00:00:00+00:00,Instruments de musique,1
2016-01-09 00:00:00+00:00,"Livres, articles de papéterie",4
2016-01-09 00:00:00+00:00,Optique,6
2016-01-09 00:00:00+00:00,Parapluies,2
2016-01-09 00:00:00+00:00,Pièces d'identités et papiers personnels,13
2016-01-09 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",10
2016-01-09 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-09 00:00:00+00:00,"Vêtements, chaussures",14
2016-01-10 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",18
2016-01-10 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-10 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-10 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",27
2016-01-10 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4
2016-01-10 00:00:00+00:00,Divers,1
2016-01-10 00:00:00+00:00,"Livres, articles de papéterie",2
2016-01-10 00:00:00+00:00,Optique,5
2016-01-10 00:00:00+00:00,Parapluies,1
2016-01-10 00:00:00+00:00,Pièces d'identités et papiers personnels,6
2016-01-10 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",11
2016-01-10 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-10 00:00:00+00:00,"Vêtements, chaussures",11
2016-01-11 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",47
2016-01-11 00:00:00+00:00,"Articles d'enfants, de puériculture",3
2016-01-11 00:00:00+00:00,"Articles de sport, loisirs, camping",8
2016-01-11 00:00:00+00:00,Articles médicaux,4
2016-01-11 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",98
2016-01-11 00:00:00+00:00,"Bijoux, montres",10
2016-01-11 00:00:00+00:00,"Clés, porte-clés, badge magnétique",29
2016-01-11 00:00:00+00:00,Divers,4
2016-01-11 00:00:00+00:00,"Livres, articles de papéterie",18
2016-01-11 00:00:00+00:00,Optique,19
2016-01-11 00:00:00+00:00,Parapluies,16
2016-01-11 00:00:00+00:00,Pièces d'identités et papiers personnels,53
2016-01-11 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",50
2016-01-11 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-11 00:00:00+00:00,"Vêtements, chaussures",35
2016-01-12 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",48
2016-01-12 00:00:00+00:00,"Articles d'enfants, de puériculture",4
2016-01-12 00:00:00+00:00,"Articles de sport, loisirs, camping",4
2016-01-12 00:00:00+00:00,Articles médicaux,6
2016-01-12 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",77
2016-01-12 00:00:00+00:00,"Bijoux, montres",1
2016-01-12 00:00:00+00:00,"Clés, porte-clés, badge magnétique",20
2016-01-12 00:00:00+00:00,Divers,7
2016-01-12 00:00:00+00:00,"Livres, articles de papéterie",13
2016-01-12 00:00:00+00:00,Optique,14
2016-01-12 00:00:00+00:00,Parapluies,15
2016-01-12 00:00:00+00:00,Pièces d'identités et papiers personnels,41
2016-01-12 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",39
2016-01-12 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-12 00:00:00+00:00,"Vêtements, chaussures",39
2016-01-13 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",55
2016-01-13 00:00:00+00:00,"Articles d'enfants, de puériculture",3
2016-01-13 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-13 00:00:00+00:00,Articles médicaux,1
2016-01-13 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",64
2016-01-13 00:00:00+00:00,"Clés, porte-clés, badge magnétique",17
2016-01-13 00:00:00+00:00,Divers,2
2016-01-13 00:00:00+00:00,Instruments de musique,1
2016-01-13 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-13 00:00:00+00:00,Optique,21
2016-01-13 00:00:00+00:00,Parapluies,6
2016-01-13 00:00:00+00:00,Pièces d'identités et papiers personnels,24
2016-01-13 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",40
2016-01-13 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-13 00:00:00+00:00,"Vêtements, chaussures",36
2016-01-14 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",44
2016-01-14 00:00:00+00:00,"Articles d'enfants, de puériculture",3
2016-01-14 00:00:00+00:00,"Articles de sport, loisirs, camping",5
2016-01-14 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",67
2016-01-14 00:00:00+00:00,"Bijoux, montres",3
2016-01-14 00:00:00+00:00,"Clés, porte-clés, badge magnétique",32
2016-01-14 00:00:00+00:00,Divers,3
2016-01-14 00:00:00+00:00,Instruments de musique,1
2016-01-14 00:00:00+00:00,"Livres, articles de papéterie",9
2016-01-14 00:00:00+00:00,Optique,21
2016-01-14 00:00:00+00:00,Parapluies,7
2016-01-14 00:00:00+00:00,Pièces d'identités et papiers personnels,39
2016-01-14 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",28
2016-01-14 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-14 00:00:00+00:00,"Vêtements, chaussures",23
2016-01-15 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",40
2016-01-15 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-15 00:00:00+00:00,"Articles de sport, loisirs, camping",3
2016-01-15 00:00:00+00:00,Articles médicaux,1
2016-01-15 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",88
2016-01-15 00:00:00+00:00,"Bijoux, montres",4
2016-01-15 00:00:00+00:00,"Clés, porte-clés, badge magnétique",25
2016-01-15 00:00:00+00:00,Divers,9
2016-01-15 00:00:00+00:00,"Livres, articles de papéterie",8
2016-01-15 00:00:00+00:00,Optique,13
2016-01-15 00:00:00+00:00,Parapluies,12
2016-01-15 00:00:00+00:00,Pièces d'identités et papiers personnels,40
2016-01-15 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",36
2016-01-15 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",6
2016-01-15 00:00:00+00:00,"Vêtements, chaussures",42
2016-01-16 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",12
2016-01-16 00:00:00+00:00,Articles médicaux,2
2016-01-16 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",32
2016-01-16 00:00:00+00:00,"Clés, porte-clés, badge magnétique",5
2016-01-16 00:00:00+00:00,Divers,4
2016-01-16 00:00:00+00:00,"Livres, articles de papéterie",4
2016-01-16 00:00:00+00:00,Optique,3
2016-01-16 00:00:00+00:00,Parapluies,2
2016-01-16 00:00:00+00:00,Pièces d'identités et papiers personnels,21
2016-01-16 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",18
2016-01-16 00:00:00+00:00,"Vêtements, chaussures",14
2016-01-17 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",8
2016-01-17 00:00:00+00:00,Articles médicaux,2
2016-01-17 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",25
2016-01-17 00:00:00+00:00,"Bijoux, montres",1
2016-01-17 00:00:00+00:00,"Clés, porte-clés, badge magnétique",5
2016-01-17 00:00:00+00:00,Divers,2
2016-01-17 00:00:00+00:00,"Livres, articles de papéterie",3
2016-01-17 00:00:00+00:00,Optique,6
2016-01-17 00:00:00+00:00,Pièces d'identités et papiers personnels,12
2016-01-17 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",9
2016-01-17 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-17 00:00:00+00:00,"Vêtements, chaussures",12
2016-01-18 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",50
2016-01-18 00:00:00+00:00,"Articles d'enfants, de puériculture",6
2016-01-18 00:00:00+00:00,"Articles de sport, loisirs, camping",3
2016-01-18 00:00:00+00:00,Articles médicaux,4
2016-01-18 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",126
2016-01-18 00:00:00+00:00,"Bijoux, montres",1
2016-01-18 00:00:00+00:00,"Clés, porte-clés, badge magnétique",20
2016-01-18 00:00:00+00:00,Divers,8
2016-01-18 00:00:00+00:00,"Livres, articles de papéterie",8
2016-01-18 00:00:00+00:00,Optique,17
2016-01-18 00:00:00+00:00,Parapluies,3
2016-01-18 00:00:00+00:00,Pièces d'identités et papiers personnels,45
2016-01-18 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",50
2016-01-18 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",2
2016-01-18 00:00:00+00:00,"Vêtements, chaussures",36
2016-01-19 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",34
2016-01-19 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-19 00:00:00+00:00,Articles médicaux,2
2016-01-19 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",70
2016-01-19 00:00:00+00:00,"Clés, porte-clés, badge magnétique",21
2016-01-19 00:00:00+00:00,Divers,4
2016-01-19 00:00:00+00:00,"Livres, articles de papéterie",7
2016-01-19 00:00:00+00:00,Optique,9
2016-01-19 00:00:00+00:00,Parapluies,4
